"name","price","review_count","rating","est_income","est_total_cost","expected_profit"
"Head Soccer","0.00","481564","5.0","$330,000.00","$142,000.00","$188,000.00"
"Plants vs. Zombies","0.99","426463","5.0","$330,000.00","$142,000.00","$188,000.00"
"Sniper 3D Assassin: Shoot to Kill Gun Game","0.00","386521","5.0","$330,000.00","$142,000.00","$188,000.00"
"Geometry Dash Lite","0.00","370370","5.0","$330,000.00","$142,000.00","$188,000.00"
"Infinity Blade","0.99","326482","5.0","$330,000.00","$142,000.00","$188,000.00"
"Domino's Pizza USA","0.00","258624","5.0","$330,000.00","$142,000.00","$188,000.00"
"CSR Racing 2","0.00","257100","5.0","$330,000.00","$142,000.00","$188,000.00"
"Pictoword: Fun 2 Pics Guess What's the Word Trivia","0.00","186089","5.0","$330,000.00","$142,000.00","$188,000.00"
"Plants vs. Zombies HD","0.99","163598","5.0","$330,000.00","$142,000.00","$188,000.00"
"The Room","0.99","143908","5.0","$330,000.00","$142,000.00","$188,000.00"
"Iron Force","0.00","141634","5.0","$330,000.00","$142,000.00","$188,000.00"
"Sniper Shooter: Gun Shooting Games","0.00","134080","5.0","$330,000.00","$142,000.00","$188,000.00"
"Flashlight Ⓞ","0.00","130450","5.0","$330,000.00","$142,000.00","$188,000.00"
"Pic Collage - Picture Editor & Photo Collage Maker","0.00","123433","5.0","$330,000.00","$142,000.00","$188,000.00"
"Zappos: shop shoes & clothes, fast free shipping","0.00","103655","5.0","$330,000.00","$142,000.00","$188,000.00"
"Credit Karma: Free Credit Scores, Reports & Alerts","0.00","101679","5.0","$330,000.00","$142,000.00","$188,000.00"
"PewDiePie's Tuber Simulator","0.00","90851","5.0","$330,000.00","$142,000.00","$188,000.00"
"We Heart It - Fashion, wallpapers, quotes, tattoos","0.00","90414","5.0","$330,000.00","$142,000.00","$188,000.00"
"Google Photos - unlimited photo and video storage","0.00","88742","5.0","$330,000.00","$142,000.00","$188,000.00"
"Color Therapy Adult Coloring Book for Adults","0.00","84062","5.0","$330,000.00","$142,000.00","$188,000.00"
"Blackbox - think outside the box","0.00","80058","5.0","$330,000.00","$142,000.00","$188,000.00"
"Egg, Inc.","0.00","79074","5.0","$330,000.00","$142,000.00","$188,000.00"
